title,date,url,body,image_urls,image_urls_str,local_images
Official welcome ceremony held for Czech Prime Minister,30 April 2026,https://www.uzairways.com/en/press-center/news/official-welcome-ceremony-held-czech-prime-minister,"On April 30, an official welcome ceremony was held at the Kuksaroy Residence for the Prime Minister of the Czech Republic Andrej Babiš, who is on an official visit to Uzbekistan. A guard of honor was lined up in the square outside the residence. President Shavkat Mirziyoyev warmly welcomed the distinguished guest and invited him to the podium. The military band performed the national anthems of both countries. The leaders inspected the guard of honor and greeted members of the official delegations. Following the ceremony and a joint photo session, high-level negotiations began. Photo: Press Service of the President of the Republic of Uzbekistan\",['https://www.uzairways.com/sites/default/files/inline-images/2_16.jpg'],https://www.uzairways.com/sites/default/files/inline-images/2_16.jpg,data/images/official_welcome_ceremony_held_for_czech_prime_min_1.jpg
Uzbek–Czech relations enter a new stage of development,30 April 2026,https://www.uzairways.com/en/press-center/news/uzbek-czech-relations-enter-new-stage-development,"Negotiations were held between the President of the Republic of Uzbekistan Shavkat Mirziyoyev, and the Prime Minister of the Czech Republic Andrej Babiš, in a narrow format and with the participation of the two countries’ delegations at the Kuksaroy Residence. The sides discussed the current state and prospects for further development of practical cooperation between Uzbekistan and the Czech Republic. At the beginning of the meeting, the President emphasized that the current visit would be a breakthrough and would open a qualitatively new stage in the history of multifaceted Uzbek–Czech relations. The dynamic development of cooperation across all areas was noted with satisfaction. Close contacts have been established at the level of governments, ministries, and agencies, while business and humanitarian exchanges have intensified. Friendship groups have been established in the parliaments, and the Intergovernmental Commission is operating effectively. Bilateral trade turnover has nearly doubled in recent years. There are currently 37 joint ventures with Czech capital successfully operating in Uzbekistan, and cooperation is expanding across a broad range of new areas. Particular attention was paid to increasing mutual trade. A target was set to raise trade turnover to $1 billion, including by expanding the range of traded goods. To stimulate trade, the first Uzbek certification branch is being established in the Czech Republic. In cooperation with Czech partners, a modern laboratory for the certification of Euro-6 standard vehicles and quantum measurement standards is also under construction. An agreement was reached to prepare a Technological Cooperation Program with leading Czech companies, including the implementation of projects in mechanical engineering, green energy, geology and critical raw materials, chemistry, pharmaceuticals, and other sectors. Prospects for cooperation in infrastructure development, the creation of smart cities, engineering, and digitalization were also noted. In this context, the project initiatives presented at the Uzbek–Czech Business Forum held the previous day were supported. The sides welcomed the intentions of the Export Credit Insurance Agency and the Export Bank of the Czech Republic to support project implementation in Uzbekistan. To advance the economic agenda, it was proposed to establish a Business Council and to hold the next meeting of the Intergovernmental Commission in Tashkent this August. In the cultural and humanitarian sphere, both sides confirmed their interest in expanding educational and academic exchanges, including through dual degree programs. The importance of regularly holding cultural and film days, exhibitions, and concerts, as well as increasing tourist flows, was emphasized. To this end, the resumption of direct flights between the capitals of the two countries will be explored. The prospects for cooperation in the field of organized labor migration were also discussed separately. The sides also exchanged views on issues on the international agenda. In conclusion, an agreement was reached to prepare a joint roadmap for the timely implementation of the decisions adopted. Photo: Press Service of the President of the Republic of Uzbekistan",['https://www.uzairways.com/sites/default/files/inline-images/5_7.jpg'],https://www.uzairways.com/sites/default/files/inline-images/5_7.jpg,data/images/uzbek_czech_relations_enter_a_new_stage_of_develop_1.jpg
Uzbekistan and the Czech Republic sign package of bilateral agreements,30 April 2026,https://www.uzairways.com/en/press-center/news/uzbekistan-and-czech-republic-sign-package-bilateral-agreements,"Following talks held in Tashkent, President of the Republic of Uzbekistan Shavkat Mirziyoyev and Prime Minister of the Czech Republic Andrej Babiš signed a Joint Declaration on the promotion of expanded cooperation. A signing ceremony for bilateral agreements was also held, including cooperation in economic, industrial, scientific, and technological fields, the training of diplomatic personnel, joint design and support for the establishment of a metrology laboratory, scientific and innovative cooperation in metrology, cooperation in geology, as well as the supply of electric trains. Photo: Press Service of the President of the Republic of Uzbekistan",['https://www.uzairways.com/sites/default/files/inline-images/8_3.jpg'],https://www.uzairways.com/sites/default/files/inline-images/8_3.jpg,data/images/uzbekistan_and_the_czech_republic_sign_package_of__1.jpg
Meeting with Students of Turin Polytechnic University: Industry Insights and the Future of Aviation,01 May 2026,https://www.uzairways.com/en/press-center/news/meeting-students-turin-polytechnic-university-industry-insights-and-future,"The development of national aviation is impossible without the influx of young, ambitious talent. Yesterday, on April 30, the Chairman of the Board of Uzbekistan Airways JSC, Shukhrat Khudaykulov, held an open and inspiring meeting with students from Turin Polytechnic University in Tashkent. The event was held in a format of sincere and lively dialogue. Students from various faculties demonstrated a deep understanding of global aviation trends, boldly exchanging views and asking the leadership the most pressing questions. Future specialists were interested in a serious range of topics. During the discussion, they explored opportunities for professional internships within the airline’s structures, the strategic criteria and processes for opening new scheduled routes. Additionally, participants touched upon the intricacies of acquiring modern aircraft, the specifics of lending and leasing agreements, and the fundamental principles of ensuring flight safety. Addressing the youth, Shukhrat Khudaykulov emphasized that the airline's success is built on the coordinated work of a massive mechanism, where every employee is vital – from pilots and flight attendants to strategists, commercial department specialists, and the Flight Operations Center. emphasized Shukhrat Khudaykulov, noting that success is built on the coordinated work of the entire team. At the conclusion of the meeting, the most active participants in the discussion received branded gifts from the national carrier. The leadership sincerely thanked the students for their passion and engagement, emphasizing that such open conversations lay a solid foundation for the development of a new, strong generation of aviators in our country.","['https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2004%20%282%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2002%20%283%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2003%20%283%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2005%20%281%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2006%20%281%29.jpg']",https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2004%20%282%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2002%20%283%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2003%20%283%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2005%20%281%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%2006%20%281%29.jpg,data/images/meeting_with_students_of_turin_polytechnic_univers_1.jpg; data/images/meeting_with_students_of_turin_polytechnic_univers_2.jpg; data/images/meeting_with_students_of_turin_polytechnic_univers_3.jpg; data/images/meeting_with_students_of_turin_polytechnic_univers_4.jpg; data/images/meeting_with_students_of_turin_polytechnic_univers_5.jpg
Uzbekistan Airways Successfully Completes 10th IOSA Audit (IATA Operational Safety Audit),01 May 2026,https://www.uzairways.com/en/press-center/news/uzbekistan-airways-successfully-completes-10th-iosa-audit-iata-operational-safety,"Uzbekistan Airways JSC has successfully passed its 10th IOSA (IATA Operational Safety Audit). The airline first received the IOSA certificate in 2008 and has since confirmed its compliance with international operational safety standards every two years. The results of the latest audit confirm the airline's steady compliance with international standards and recommended practices in flight safety, as well as the effectiveness of its implemented safety management system. The consistent successful completion of IOSA audits reflects the systematic approach of Uzbekistan Airways JSC toward maintaining and continuously improving flight safety, operational reliability, and service quality. The airline will continue to implement its flight safety and quality policy in accordance with international requirements and global industry best practices.",[],,
New Horizons of Comfort: Pay for Uzbekistan Airways Tickets and Services via WeChat,01 May 2026,https://www.uzairways.com/en/press-center/news/new-horizons-comfort-pay-uzbekistan-airways-tickets-and-services-wechat,"The national airline, Uzbekistan Airways, is continuously working to make your travels even more convenient and accessible. We strive to implement advanced digital solutions that save your time and provide confidence at every stage of trip planning, wherever you may be. We are pleased to announce that a new option is now available to our passengers — fast and secure payment for air tickets and additional airline services using the popular international platform, WeChat. All transactions within this system are processed directly in CNY (Yuan), making the purchasing process as transparent and comfortable as possible for the service users. We understand the importance of having familiar and reliable financial tools at your fingertips in today’s dynamic world. Integration with the WeChat payment system is another significant step by the airline toward innovation, making the booking of your next trip a matter of just a few minutes. Experience new standards of convenience, plan your routes with ease, and discover the world with us. Comfortable journeys begin with Uzbekistan Airways!",[],,
Uzbekistan Airways is moving to a new terminal at Frankfurt Airport,04 May 2026,https://www.uzairways.com/en/press-center/news/uzbekistan-airways-moving-new-terminal-frankfurt-airport,"Starting May 7, the airline’s flights will operate to and from Terminal 3, which opened after 11 years of construction. The new terminal is designed to handle up to 19 million passengers a year and offers a high level of comfort for travelers. We ask passengers to take this change into account when planning their trip and to check the departure and arrival terminal information in advance.",[],,
Honoring the Heroes: Uzbekistan Airways Paid Tribute to the Defenders of the Peaceful Sky,05 May 2026,https://www.uzairways.com/en/press-center/news/honoring-heroes-uzbekistan-airways-paid-tribute-defenders-peaceful-sky,"On the eve of the Day of Remembrance and Honor, employees and veterans of Uzbekistan Airways paid tribute to the heroes who selflessly fought for our bright future, peace, and well-being. Memorial events were held simultaneously at several landmark locations in Tashkent: Victory Park, the “Brotherly Graves” memorial complex, as well as the city’s “Chigatai” and “Minor” cemeteries. Participants laid flowers and paid deep respect to the fallen soldiers. On this day, memories of the hardships of the war years were shared, recalling how the incredible unity, courage, and faith of our people laid a solid foundation for the peaceful development of independent Uzbekistan. The gathering held special significance for the continuity of generations. The airline's young specialists had the opportunity to see historical models of aviation equipment that saved hundreds of lives by performing the most complex evacuation and defense missions. Listening to the eyewitness stories of the older generation, the youth were once again reminded of the immense price of the words most sacred to every aviator and citizen: a peaceful sky and a peaceful country. We remember. We are proud.","['https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%204%20-%202026-05-05T191427.261.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%202%20-%202026-05-05T191738.159.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%203%20-%202026-05-05T191421.733.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%204%20-%202026-05-05T191723.943.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%205%20-%202026-05-05T191459.309.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%205%20-%202026-05-05T191717.527.jpg']",https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%204%20-%202026-05-05T191427.261.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%202%20-%202026-05-05T191738.159.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%203%20-%202026-05-05T191421.733.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%204%20-%202026-05-05T191723.943.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%205%20-%202026-05-05T191459.309.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%205%20-%202026-05-05T191717.527.jpg,data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_1.jpg; data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_2.jpg; data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_3.jpg; data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_4.jpg; data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_5.jpg; data/images/honoring_the_heroes_uzbekistan_airways_paid_tribut_6.jpg
A Historic Event in the Civil Aviation of the Republic of Uzbekistan: A New Stage in the Development of Uzbekistan Airways Technics,08 May 2026,https://www.uzairways.com/en/press-center/news/historic-event-civil-aviation-republic-uzbekistan-new-stage-development,"Today, May 8, a truly historic event took place at our structural division, Uzbekistan Airways Technics. The enterprise’s highly qualified specialists successfully performed complex On-Wing engine testing following the completion of maintenance works. This process was conducted under the strict supervision of an official representative from the General Electric (GE) Corporation. The significance of this event is further highlighted by the fact that the tests were carried out directly on a Boeing 787 Dreamliner. This major achievement was preceded by extensive collaborative work with General Electric. The airline’s specialists completed an intensive training course, obtained relevant international certifications, and demonstrated flawless mastery of Engine Split procedures, as well as the mating and unmating of GEnx-1B engine components. By implementing this vast complex of preparatory measures, Uzbekistan Airways Technics has confidently moved to the next, higher stage of its technical evolution. – “The project, which launched in 2023, has become a vital step in the development of the strategic partnership between Uzbekistan Airways and General Electric. To successfully master this cutting-edge technology, we sent our Uzbekistan Airways Technics specialists for intensive training in Doha. Over three months, they not only enhanced their qualifications but also earned prestigious international certifications. I sincerely thank every employee of our aviation enterprise and our colleagues from General Electric for this breakthrough and their dedication to our shared cause,” noted Farkhod Ibragimov, Director of Uzbekistan Airways Technics LLC. – “The implementation of tasks at this level requires a highly professional team with extensive practical experience. Together with the specialists from Uzbekistan Airways Technics, we have accomplished truly monumental work. This successful project not only strengthens our partnership but also allows us to significantly optimize aircraft maintenance turnaround times,” emphasized Igor Zabelin, Chief Engineer of the Civil Aviation Maintenance Department at GE Aviation. The successful execution of this innovative program elevates the prestige and image of the enterprise – which boasts a century-long history – to a completely new international level. Today, Uzbekistan Airways Technics proudly offers a wide range of aircraft maintenance, repair, and overhaul (MRO) services for the entire Central Asian region. It is worth noting that Uzbekistan Airways Technics is part of the Uzbekistan Airways Group. Our airline proudly holds the status of the only carrier in the region operating the Boeing 787 Dreamliner. Furthermore, Uzbekistan Airways remains the only airline across the CIS to operate regular, direct transatlantic flights to New York. – “Previously, the full cycle of shipping, repairing abroad, and returning this engine took anywhere from three to six months. The transportation itself was a complex logistical challenge, requiring specialized heavy-lift cargo aircraft. Now, thanks to the mastered technology, the engine can be transported in a disassembled state on standard cargo aircraft types. This radically simplifies logistics and enables us to resolve complex technical and operational tasks as promptly as possible,” concluded Minur Beshatov, Director of the Continuing Airworthiness Department at Uzbekistan Airways. Behind every safe and comfortable flight lies the immense effort of a vast team: the century-long experience of the region's largest enterprise, Uzbekistan Airways Technics, and the cutting-edge innovations of our Training Center, which continuously educates a new generation of professional aviators in strict accordance with the highest European EASA standards.","['https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%202%20-%202026-05-08T190826.578.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%201%20-%202026-05-08T190805.611.jpg']",https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%202%20-%202026-05-08T190826.578.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D1%81%D0%B0%D0%B9%D1%82%201%20-%202026-05-08T190805.611.jpg,data/images/a_historic_event_in_the_civil_aviation_of_the_repu_1.jpg; data/images/a_historic_event_in_the_civil_aviation_of_the_repu_2.jpg
The term of office of Shuhrat Shavkatovich Khudaykulov as Chairman of the Board has been extended for another three year,06 April 2026,https://www.uzairways.com/en/press-center/news/term-office-shuhrat-shavkatovich-khudaykulov-chairman-board-has-been-extended,"By decision of the Supervisory Board and the General Meeting of Shareholders of Uzbekistan Airways JSC, the term of office of Shukhrat Shavkatovich Khudaykulov as Chairman of the Management Board has been extended for another three years. Shukhrat Shavkatovich has been heading the national airline since 2023. Taking into account the achieved results and the ongoing development strategy, the shareholders expressed their confidence in the current management by supporting the continuation of his tenure. The decision is aimed at the further development of the airline, expansion of the route network, and improvement of service quality. Under his leadership, projects on fleet modernization, strengthening international cooperation, and increasing operational efficiency are being consistently implemented.",[],,
Uzbekistan Airways is taking part “OTDYKH”,09 April 2026,https://www.uzairways.com/en/press-center/news/uzbekistan-airways-taking-part-otdykh,"Uzbekistan Airways is taking part in the International Tourism Fair “OTDYKH”, held in Minsk from April 9 to 11. Participation in one of the region’s key industry events has become an important platform for strengthening professional ties and promoting the tourism potential of the airline’s destinations. At the Uzbekistan Airways branded stand, visitors can explore the route network, learn more about current offers and services, and receive personalized консультации from the airline’s representatives. Particular attention is given to the business program: the exhibition features extensive and productive B2B meetings with partners and representatives of the tourism industry. Discussions focus on prospects for cooperation, route network development, and new opportunities for mutual growth. Participation in the “OTDYKH” exhibition once again confirms Uzbekistan Airways’ commitment to expanding its international presence, strengthening partnerships, and creating even more comfortable travel conditions for passengers. We also invite you to visit our stand at the BelExpo Exhibition Center (Hall 5)!","['https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%202%20-%202026-04-14T113927.870.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%203%20-%202026-04-14T113938.102.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%204%20-%202026-04-14T113945.406.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%205%20%2894%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%206%20%2865%29.jpg', 'https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%208%20%2827%29.jpg']",https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%202%20-%202026-04-14T113927.870.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%203%20-%202026-04-14T113938.102.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%204%20-%202026-04-14T113945.406.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%205%20%2894%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%206%20%2865%29.jpg; https://www.uzairways.com/sites/default/files/inline-images/%D0%A1%D0%B0%D0%B9%D1%82%208%20%2827%29.jpg,data/images/uzbekistan_airways_is_taking_part_otdykh_1.jpg; data/images/uzbekistan_airways_is_taking_part_otdykh_2.jpg; data/images/uzbekistan_airways_is_taking_part_otdykh_3.jpg; data/images/uzbekistan_airways_is_taking_part_otdykh_4.jpg; data/images/uzbekistan_airways_is_taking_part_otdykh_5.jpg; data/images/uzbekistan_airways_is_taking_part_otdykh_6.jpg
